year,jday,date,mm
2013,140,2013-05-20,23.622
2013,141,2013-05-21,13.462
2013,148,2013-05-28,18.796
2013,162,2013-06-11,25.145999999999997
2013,169,2013-06-18,22.098
2013,175,2013-06-24,16.509999999999998
2013,183,2013-07-02,25.145999999999997
2013,186,2013-07-05,25.145999999999997
2013,189,2013-07-08,16.509999999999998
2013,193,2013-07-12,25.145999999999997
2013,197,2013-07-16,23.622
2013,200,2013-07-19,25.145999999999997
2013,203,2013-07-22,25.145999999999997
2013,205,2013-07-24,25.145999999999997
2013,210,2013-07-29,25.145999999999997
2013,213,2013-08-01,20.827999999999996
2013,214,2013-08-02,25.145999999999997
2013,217,2013-08-05,25.145999999999997
2013,219,2013-08-07,25.145999999999997
2013,221,2013-08-09,25.145999999999997
2013,224,2013-08-12,25.145999999999997
2013,226,2013-08-14,25.145999999999997
2013,231,2013-08-19,25.145999999999997
2013,233,2013-08-21,25.145999999999997
2013,238,2013-08-26,25.145999999999997
2013,240,2013-08-28,22.098
2014,132,2014-05-12,19.304
2014,139,2014-05-19,26.924
2014,141,2014-05-21,19.304
2014,143,2014-05-23,15.239999999999998
2014,150,2014-05-30,15.239999999999998
2014,156,2014-06-05,24.637999999999998
2014,160,2014-06-09,15.239999999999998
2014,162,2014-06-11,38.099999999999994
2014,167,2014-06-16,19.558
2014,169,2014-06-18,32.512
2014,174,2014-06-23,33.528
2014,176,2014-06-25,10.16
2014,181,2014-06-30,14.477999999999998
2014,183,2014-07-02,20.827999999999996
2014,188,2014-07-07,20.827999999999996
2014,190,2014-07-09,20.827999999999996
2014,195,2014-07-14,25.4
2014,197,2014-07-16,20.827999999999996
2014,202,2014-07-21,25.4
2015,124,2015-05-04,3.8099999999999996
2015,125,2015-05-05,16.764
2015,126,2015-05-06,16.509999999999998
2015,131,2015-05-11,7.619999999999999
2015,159,2015-06-08,12.7
2015,161,2015-06-10,12.953999999999999
2015,168,2015-06-17,17.525999999999996
2015,170,2015-06-19,21.59
2015,173,2015-06-22,23.368
2015,177,2015-06-26,25.4
2015,180,2015-06-29,23.875999999999998
2015,182,2015-07-01,25.4
2015,184,2015-07-03,24.13
2015,189,2015-07-08,26.924
2015,190,2015-07-09,35.306
2015,212,2015-07-31,25.4
2015,215,2015-08-03,25.4
2015,219,2015-08-07,24.892
2015,222,2015-08-10,28.701999999999995
2015,224,2015-08-12,29.971999999999998
2015,226,2015-08-14,23.622
2015,229,2015-08-17,23.875999999999998
2015,231,2015-08-19,19.812
2015,236,2015-08-24,27.686
2015,238,2015-08-26,27.686
2015,243,2015-08-31,20.827999999999996
2015,245,2015-09-02,12.7
2015,273,2015-09-30,12.7
2015,279,2015-10-06,19.049999999999997
2016,131,2016-05-10,19.049999999999997
2016,134,2016-05-13,19.049999999999997
2016,137,2016-05-16,19.049999999999997
2016,165,2016-06-13,25.4
2016,168,2016-06-16,19.049999999999997
2016,171,2016-06-19,25.4
2016,174,2016-06-22,25.4
2016,178,2016-06-26,25.4
2016,181,2016-06-29,25.4
2016,187,2016-07-05,25.4
2016,208,2016-07-26,32.257999999999996
2016,209,2016-07-27,25.4
2016,211,2016-07-29,32.257999999999996
2016,212,2016-07-30,24.13
2016,215,2016-08-02,31.75
2016,218,2016-08-05,34.29
2016,221,2016-08-08,34.29
2016,223,2016-08-10,34.29
2016,225,2016-08-12,34.29
2016,229,2016-08-16,34.29
2016,232,2016-08-19,34.29
2016,236,2016-08-23,34.29
2016,239,2016-08-26,25.4
2016,242,2016-08-29,12.7
2017,130,2017-05-10,25.4
2017,134,2017-05-14,25.4
2017,163,2017-06-12,25.4
2017,166,2017-06-15,25.4
2017,170,2017-06-19,31.75
2017,173,2017-06-22,31.75
2017,176,2017-06-25,31.75
2017,179,2017-06-28,31.75
2017,182,2017-07-01,31.75
2017,185,2017-07-04,25.4
2017,204,2017-07-23,31.75
2017,205,2017-07-24,31.75
2017,208,2017-07-27,31.75
2017,211,2017-07-30,31.75
2017,214,2017-08-02,31.75
2017,217,2017-08-05,31.75
2017,220,2017-08-08,25.4
2017,223,2017-08-11,19.05
2017,226,2017-08-14,1.27
2017,235,2017-08-23,63.5
2018,177,2018-06-26,25.4
2018,183,2018-07-02,25.4
2018,187,2018-07-06,25.4
2018,191,2018-07-10,25.4
2018,194,2018-07-13,25.4
2018,197,2018-07-16,25.4
2018,201,2018-07-20,25.4
2018,204,2018-07-23,25.4
2018,207,2018-07-26,31.75
2018,211,2018-07-30,31.75
2018,214,2018-08-02,31.75
2018,218,2018-08-06,31.75
2018,221,2018-08-09,31.75
2018,225,2018-08-13,31.75
2018,228,2018-08-16,31.75
2018,232,2018-08-20,31.75
2018,235,2018-08-23,31.75
2018,239,2018-08-27,25.4
2018,242,2018-08-30,25.4
2018,249,2018-09-06,19.05
2019,133,2019-05-13,24.383999999999997
2019,156,2019-06-05,24.383999999999997
2019,161,2019-06-10,24.383999999999997
2019,164,2019-06-13,24.383999999999997
2019,168,2019-06-17,24.383999999999997
2019,171,2019-06-20,24.383999999999997
2019,175,2019-06-24,24.383999999999997
2019,178,2019-06-27,24.383999999999997
2019,182,2019-07-01,24.383999999999997
2019,185,2019-07-04,24.383999999999997
2019,189,2019-07-08,24.383999999999997
2019,192,2019-07-11,24.383999999999997
2019,234,2019-08-22,24.383999999999997
2019,237,2019-08-25,24.383999999999997
2019,241,2019-08-29,31.75
2019,245,2019-09-02,31.75
2019,251,2019-09-08,24.383999999999997
2019,258,2019-09-15,24.383999999999997
2019,267,2019-09-24,24.383999999999997
2019,274,2019-10-01,24.383999999999997
2020,113,2020-04-22,24.383999999999997
2020,117,2020-04-26,26.416
2020,120,2020-04-29,26.416
2020,125,2020-05-04,29.209999999999997
2020,130,2020-05-09,31.75
2020,136,2020-05-15,31.75
2020,167,2020-06-15,31.75
2020,171,2020-06-19,24.383999999999997
2020,174,2020-06-22,31.75
2020,183,2020-07-01,24.383999999999997
2020,188,2020-07-06,24.383999999999997
2020,192,2020-07-10,24.383999999999997
2020,195,2020-07-13,24.383999999999997
2020,198,2020-07-16,26.416
2020,212,2020-07-30,32.257999999999996
2020,216,2020-08-03,36.321999999999996
2020,220,2020-08-07,32.257999999999996
2020,223,2020-08-10,29.209999999999997
2020,226,2020-08-13,29.209999999999997
2020,230,2020-08-17,32.257999999999996
2020,234,2020-08-21,36.321999999999996
2020,237,2020-08-24,36.321999999999996
2020,241,2020-08-28,36.321999999999996
2020,244,2020-08-31,36.321999999999996
2020,248,2020-09-04,26.416
2020,285,2020-10-11,12.7
