month,TMPMX,TMPMN,TMPSTDMX,TMPSTDMN,PCPMM,PCPSTD,PCPSKW,PR_W1,PR_W2,PCPD,RAINHHMX,SOLARAV,DEWPT,WNDAV
1,2.16,-6.69,5.59,6.15,29.8,4.3,2.1,0.24,0.48,9.79,2.0,7.25,-7.92,3.77
2,5.58,-4.82,5.18,4.59,17.7,2.5,0.04,0.2,0.45,7.73,4.3,11.06,-5.19,4.03
3,9.68,-2.5,5.24,3.58,25.1,4.1,3.09,0.21,0.42,8.24,3.6,15.92,-4.21,4.54
4,13.94,0.29,5.58,3.61,25.4,4.6,2.64,0.21,0.39,7.68,4.1,20.78,-1.81,4.75
5,19.52,4.91,5.74,3.61,25.6,3.8,0.38,0.16,0.52,7.75,4.1,24.39,1.75,4.49
6,24.13,8.79,5.51,3.23,23.1,3.8,0.13,0.17,0.44,6.99,7.6,26.73,3.82,4.27
7,29.34,11.62,3.77,2.85,8.4,2.8,-0.38,0.08,0.33,3.31,10.7,26.69,4.78,3.68
8,28.57,10.71,4.24,3.18,14.0,5.6,2.21,0.09,0.33,3.67,6.9,23.97,4.08,3.6
9,23.33,6.03,5.5,3.63,19.2,4.8,1.47,0.11,0.41,4.71,5.3,19.44,1.07,3.56
10,17.05,0.91,5.87,3.59,17.7,4.1,1.64,0.12,0.48,5.81,7.6,13.37,-1.15,3.43
11,8.9,-2.52,5.53,4.2,32.0,4.1,1.39,0.21,0.51,9.0,79.8,8.67,-3.25,3.55
12,3.34,-6.08,5.41,5.47,34.1,4.1,2.08,0.25,0.5,10.33,44.7,6.33,-5.67,3.72
