 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
  jday,   mon,   day,    yr,   unit , gis_id , name           ,            flo ,         dep_wt ,           stor,          rchrg,           seep,          revap,         no3_st,           minp,           orgn,           orgp,       no3_rchg,       no3_loss,        no3_lat,       no3_seep,        flo_cha,        flo_res,         flo_ls
      ,      ,      ,      ,        ,        ,                ,              mm,              m ,             mm,             mm,             mm,             mm,        kg/ha_N,        kg/ha_P,        kg/ha_N,        kg/ha_P,        kg/ha_N,        kg/ha_N,        kg/ha_N,        kg/ha_N,             mm,             mm,             mm
366,12,31,2020,1,10,aqu10           ,.00,4.04,298.,.00,.00,22.5,.126E-06,.00,.500,.00,.00,.107E-05,.00,.00,.00,.00,.00
366,12,31,2020,2,1,aqu_deep01      ,.00,20.0,.240E+04,.00,.00,.00,.836E-11,.00,.500,.00,.00,.710E-10,.00,.00,.00,.00,.00
365,12,31,2021,1,10,aqu10           ,.00,4.50,275.,.00,.00,23.1,.278E-10,.00,.500,.00,.00,.235E-09,.00,.00,.00,.00,.00
365,12,31,2021,2,1,aqu_deep01      ,.00,20.0,.240E+04,.00,.00,.00,.185E-14,.00,.500,.00,.00,.156E-13,.00,.00,.00,.00,.00
365,12,31,2022,1,10,aqu10           ,.00,4.89,255.,.00,.00,13.4,.624E-14,.00,.500,.00,.00,.526E-13,.00,.00,.00,.00,.00
365,12,31,2022,2,1,aqu_deep01      ,.00,20.0,.240E+04,.00,.00,.00,.413E-18,.00,.500,.00,.00,.349E-17,.00,.00,.00,.00,.00
365,12,31,2023,1,10,aqu10           ,.00,5.00,250.,.00,.00,.00,.140E-17,.00,.500,.00,.00,.118E-16,.00,.00,.00,.00,.00
365,12,31,2023,2,1,aqu_deep01      ,.00,20.0,.240E+04,.00,.00,.00,.927E-22,.00,.500,.00,.00,.781E-21,.00,.00,.00,.00,.00
366,12,31,2024,1,10,aqu10           ,.00,5.00,250.,.00,.00,.00,.311E-21,.00,.500,.00,.00,.264E-20,.00,.00,.00,.00,.00
366,12,31,2024,2,1,aqu_deep01      ,.00,20.0,.240E+04,.00,.00,.00,.206E-25,.00,.500,.00,.00,.175E-24,.00,.00,.00,.00,.00
365,12,31,2025,1,10,aqu10           ,.00,5.00,250.,.00,.00,.00,.686E-25,.00,.500,.00,.00,.578E-24,.00,.00,.00,.00,.00
365,12,31,2025,2,1,aqu_deep01      ,.00,20.0,.240E+04,.00,.00,.00,.455E-29,.00,.500,.00,.00,.383E-28,.00,.00,.00,.00,.00
