 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   366    12    31  2020       1      10  aqu10                     0.000          4.039        297.978          0.000          0.000         22.547          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   366    12    31  2020       2       1  aqu_deep01                0.000         19.996       2400.121          0.000          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2021       1      10  aqu10                     0.000          4.496        275.127          0.000          0.000         23.070          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2021       2       1  aqu_deep01                0.000         19.996       2400.121          0.000          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022       1      10  aqu10                     0.000          4.890        255.446          0.000          0.000         13.444          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022       2       1  aqu_deep01                0.000         19.996       2400.121          0.000          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2023       1      10  aqu10                     0.000          5.000        249.999          0.000          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2023       2       1  aqu_deep01                0.000         19.996       2400.121          0.000          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   366    12    31  2024       1      10  aqu10                     0.000          5.000        249.999          0.000          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   366    12    31  2024       2       1  aqu_deep01                0.000         19.996       2400.121          0.000          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2025       1      10  aqu10                     0.000          5.000        249.999          0.000          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2025       2       1  aqu_deep01                0.000         19.996       2400.121          0.000          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
