 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
       jday,         mon,         day,          yr ,  name      ,  type,   objtyp    ,  typ_no ,hyd_typ ,fraction,              flo,            sed,           orgn,           sedp,            no3,           solp,           chla,            nh3,            no2,           cbod,            dox,            san,            sil,            cla,            sag,            lag,            grv,           null
           ,            ,            ,             ,            ,      ,             ,         ,        ,        ,            m^3/s,           tons,            kgN,            kgP,            kgN,            kgP,             kg,            kgN,            kgN,             kg,             kg,           tons,           tons,           tons,           tons,           tons,           tons,           degc
366,12,31,2020,aqu10           ,aqu     ,1,ru      ,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
366,12,31,2020,aqu_deep01      ,aqu     ,2,aqu     ,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
366,12,31,2020,cha1            ,chandeg ,1,ru      ,1,tot,1.00,.656E+05,4.53,24.7,6.51,822.,38.9,.00,.00,.00,.00,.00,.780,.816,.308,3.08,4.07,.00,1.00
366,12,31,2020,cha1            ,chandeg ,1,aqu     ,1,tot,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2021,aqu10           ,aqu     ,1,ru      ,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2021,aqu_deep01      ,aqu     ,2,aqu     ,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2021,cha1            ,chandeg ,1,ru      ,1,tot,1.00,.766E+04,.943,5.58,1.57,.267E+04,55.8,.00,.00,.00,.00,.00,.153,.160,.603E-01,.602,.796,.00,1.00
365,12,31,2021,cha1            ,chandeg ,1,aqu     ,1,tot,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2022,aqu10           ,aqu     ,1,ru      ,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2022,aqu_deep01      ,aqu     ,2,aqu     ,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2022,cha1            ,chandeg ,1,ru      ,1,tot,1.00,.806E+05,18.6,107.,29.8,.205E+04,90.1,.00,.00,.00,.00,.00,3.00,3.14,1.18,11.8,15.7,.00,1.00
365,12,31,2022,cha1            ,chandeg ,1,aqu     ,1,tot,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2023,aqu10           ,aqu     ,1,ru      ,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2023,aqu_deep01      ,aqu     ,2,aqu     ,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2023,cha1            ,chandeg ,1,ru      ,1,tot,1.00,.116E+06,26.1,175.,49.7,435.,85.6,.00,.00,.00,.00,.00,4.71,4.93,1.86,18.6,24.6,.00,1.00
365,12,31,2023,cha1            ,chandeg ,1,aqu     ,1,tot,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
366,12,31,2024,aqu10           ,aqu     ,1,ru      ,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
366,12,31,2024,aqu_deep01      ,aqu     ,2,aqu     ,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
366,12,31,2024,cha1            ,chandeg ,1,ru      ,1,tot,1.00,.352E+05,11.1,67.7,19.0,587.,83.4,.00,.00,.00,.00,.00,1.91,2.00,.753,7.53,9.96,.00,1.68
366,12,31,2024,cha1            ,chandeg ,1,aqu     ,1,tot,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2025,aqu10           ,aqu     ,1,ru      ,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2025,aqu_deep01      ,aqu     ,2,aqu     ,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2025,cha1            ,chandeg ,1,ru      ,1,tot,1.00,.536E+05,27.6,169.,47.4,392.,66.0,.00,.00,.00,.00,.00,4.76,4.98,1.88,18.8,24.9,.00,1.90
365,12,31,2025,cha1            ,chandeg ,1,aqu     ,1,tot,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
