 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
       jday,         mon,         day,          yr ,  name      ,  type,   objtyp    ,  typ_no ,hyd_typ ,fraction,              flo,            sed,           orgn,           sedp,            no3,           solp,           chla,            nh3,            no2,           cbod,            dox,            san,            sil,            cla,            sag,            lag,            grv,           null
           ,            ,            ,             ,            ,      ,             ,         ,        ,        ,            m^3/s,           tons,            kgN,            kgP,            kgN,            kgP,             kg,            kgN,            kgN,             kg,             kg,           tons,           tons,           tons,           tons,           tons,           tons,           degc
365,12,31,2018,rtu10           ,ru      ,sdc,1,tot,1.00,.525E+04,10.3,45.8,12.1,74.8,98.8,.00,.00,.00,.00,.00,1.51,1.58,.595,5.95,7.87,.00,1.00
365,12,31,2018,rtu10           ,ru      ,aqu,1,rhg,1.00,.356E+05,.00,.00,.00,.107E+04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,aqu10           ,aqu     ,sdc,1,tot,1.00,681.,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,aqu10           ,aqu     ,aqu,2,rhg,1.00,.178E+04,.00,.00,.00,.854E-01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2019,rtu10           ,ru      ,sdc,1,tot,1.00,.965E+05,220.,.113E+04,298.,141.,30.3,.00,.00,.00,.00,.00,38.1,39.9,15.0,150.,199.,.00,1.00
365,12,31,2019,rtu10           ,ru      ,aqu,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2019,aqu10           ,aqu     ,sdc,1,tot,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2019,aqu10           ,aqu     ,aqu,2,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
366,12,31,2020,rtu10           ,ru      ,sdc,1,tot,1.00,.656E+05,4.53,24.7,6.51,822.,38.9,.00,.00,.00,.00,.00,.780,.816,.308,3.08,4.07,.00,1.00
366,12,31,2020,rtu10           ,ru      ,aqu,1,rhg,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
366,12,31,2020,aqu10           ,aqu     ,sdc,1,tot,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
